scenario,policy,metric,mean,ci_low,ci_high,n
sc_high_workload,pto_adaptive_fast,service_floor_binding_rate,0.5667210144927536,0.5631512681159421,0.5707065217391304,50
sc_high_workload,pto_adaptive_fast,projection_binding_rate,0.46391304347826084,0.44499456521739134,0.4847880434782609,50
sc_high_workload,online_fast_only,mean_gate_wait,12.618320852483757,12.216290577504944,13.065500092402768,50
sc_high_workload,online_fast_only,mean_yard_wait,0.8740950779556402,0.8609822072029913,0.8874454447499726,50
sc_high_workload,online_fast_only,mean_total_wait,13.492415930439398,13.076473465012734,13.932088265058884,50
sc_high_workload,online_fast_only,p95_total_wait,41.50977488690149,39.914625784286756,43.18095462007452,50
sc_high_workload,online_fast_only,mean_turnaround,29.49038569486069,29.08604196834425,29.948332789901727,50
sc_high_workload,online_fast_only,mean_gate_queue,9.143937801932367,8.841865881642514,9.4628626660628,50
sc_high_workload,online_fast_only,mean_yard_queue,0.5802868357487924,0.5716501962560385,0.5888246376811594,50
sc_high_workload,online_fast_only,p95_yard_queue,2.2013999999999982,2.159664166666665,2.2459366666666654,50
sc_high_workload,online_fast_only,throughput_rate,0.8582162266229004,0.8572177335377686,0.8591913159172152,50
sc_high_workload,online_fast_only,completion_rate,1.0,1.0,1.0,50
sc_high_workload,online_fast_only,acceptance_rate,0.8722749573437463,0.8714676898527445,0.8732434310818221,50
sc_high_workload,online_fast_only,gate_utilization,0.975022041062802,0.9741925611413043,0.9758593485809178,50
sc_high_workload,online_fast_only,yard_utilization,0.8732284368944699,0.8721590488664532,0.8742807479026785,50
sc_high_workload,online_fast_only,yard_resource_hours_per_truck,0.20040177243015922,0.20024304239703314,0.20055611029798057,50
sc_high_workload,online_fast_only,mean_composite_cost,0.38122144915672374,0.3754880175619893,0.3870683436890103,50
sc_high_workload,online_fast_only,mean_quota,22.8655615942029,22.849183876811598,22.87930661231884,50
sc_high_workload,online_fast_only,mean_yard_capacity,8.463858695652174,8.45563134057971,8.471776268115942,50
sc_high_workload,online_fast_only,unstable,0.34,0.22,0.48,50
sc_high_workload,online_fast_only,queue_tail_slope,-0.00037240401285531464,-0.013090917937823722,0.011601009318374296,50
sc_high_workload,online_fast_only,terminal_system,0.0,0.0,0.0,50
sc_high_workload,online_fast_only,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_high_workload,online_fast_only,drain_truncated,0.0,0.0,0.0,50
sc_high_workload,online_fast_only,drain_minutes,27.26,25.279500000000002,29.000999999999998,50
sc_high_workload,online_fast_only,first_queue_threshold_period,594.68,524.62,670.7105,50
sc_high_workload,online_fast_only,mean_net_queue_drift,-0.0006702898550724638,-0.002663949275362319,0.0009968297101449273,50
sc_high_workload,online_fast_only,tail_net_queue_drift,-0.03318181818181818,-0.04363636363636363,-0.02336363636363636,50
sc_high_workload,online_fast_only,service_floor_binding_rate,0.4967210144927536,0.4890027173913043,0.5049461050724638,50
sc_high_workload,online_fast_only,projection_binding_rate,0.0010507246376811595,0.0006340579710144928,0.001558423913043478,50
sc_high_workload,online_joint,mean_gate_wait,18.86959599478793,16.904734036962637,21.072784056453933,50
sc_high_workload,online_joint,mean_yard_wait,1.5252735134879716,1.2788873444375073,1.7994144791994418,50
sc_high_workload,online_joint,mean_total_wait,20.394869508275903,18.4535560235096,22.426528899681948,50
sc_high_workload,online_joint,p95_total_wait,52.09616674529544,48.506927146329204,55.96701634699186,50
sc_high_workload,online_joint,mean_turnaround,36.39238475261729,34.45711588658005,38.59115318915083,50
sc_high_workload,online_joint,mean_gate_queue,13.773786835748794,12.223768961352658,15.47435744263285,50
sc_high_workload,online_joint,mean_yard_queue,1.0583937198067632,0.8819340277777777,1.2644685839371979,50
sc_high_workload,online_joint,p95_yard_queue,3.5758999999999976,3.0741308333333315,4.137424166666664,50
sc_high_workload,online_joint,throughput_rate,0.8701806843390668,0.8664330593114417,0.8740556356059797,50
sc_high_workload,online_joint,completion_rate,1.0,1.0,1.0,50
sc_high_workload,online_joint,acceptance_rate,0.8847406660815759,0.8807308116418511,0.8887527770944089,50
sc_high_workload,online_joint,gate_utilization,0.983395229468599,0.9810339296497584,0.9857223807367151,50
sc_high_workload,online_joint,yard_utilization,0.8979784621208879,0.8867503851591522,0.9082326458744635,50
sc_high_workload,online_joint,yard_resource_hours_per_truck,0.19524541004919485,0.19269864317873925,0.19764554785450444,50
sc_high_workload,online_joint,mean_composite_cost,0.4634450612941222,0.4374846629370065,0.4897217810413331,50
sc_high_workload,online_joint,mean_quota,23.490706521739124,23.31684239130435,23.67161231884058,50
sc_high_workload,online_joint,mean_yard_capacity,8.362010869565218,8.253393115942028,8.471953351449274,50
sc_high_workload,online_joint,unstable,0.4,0.26,0.54,50
sc_high_workload,online_joint,queue_tail_slope,0.0005849245570437315,-0.01621846687290696,0.01587816833180242,50
sc_high_workload,online_joint,terminal_system,0.0,0.0,0.0,50
sc_high_workload,online_joint,uncompleted_at_drain_limit,0.0,0.0,0.0,50
sc_high_workload,online_joint,drain_truncated,0.0,0.0,0.0,50
sc_high_workload,online_joint,drain_minutes,32.86,30.0195,35.9405,50
sc_high_workload,online_joint,first_queue_threshold_period,529.58,485.875,582.199,50
sc_high_workload,online_joint,mean_net_queue_drift,0.0013043478260869568,-0.0016123188405797102,0.0038962862318840576,50
sc_high_workload,online_joint,tail_net_queue_drift,-0.04372727272727272,-0.05800000000000001,-0.03127272727272727,50
sc_high_workload,online_joint,service_floor_binding_rate,0.4232065217391305,0.3943641304347827,0.4535172101449276,50
sc_high_workload,online_joint,projection_binding_rate,0.00789855072463768,0.0023731884057971013,0.01545289855072464,50
sc_peak_workload,fixed,mean_gate_wait,350.9712239490216,323.0195705870764,382.6150129703012,50
