source_file,week_index,metric,value
POV-Weekly-Metrics-07-09-2023.pdf,2,expanded_turn_time,40.4
POV-Weekly-Metrics-07-09-2023.pdf,3,expanded_turn_time,31.6
POV-Weekly-Metrics-07-09-2023.pdf,4,expanded_turn_time,32.7
POV-Weekly-Metrics-07-09-2023.pdf,5,expanded_turn_time,33.1
POV-Weekly-Metrics-07-09-2023.pdf,6,expanded_turn_time,34.4
POV-Weekly-Metrics-07-09-2023.pdf,7,expanded_turn_time,37.6
POV-Weekly-Metrics-07-09-2023.pdf,0,single_move_turn_time,27.3
POV-Weekly-Metrics-07-09-2023.pdf,1,single_move_turn_time,28.7
POV-Weekly-Metrics-07-09-2023.pdf,2,single_move_turn_time,32.8
POV-Weekly-Metrics-07-09-2023.pdf,3,single_move_turn_time,25.7
POV-Weekly-Metrics-07-09-2023.pdf,4,single_move_turn_time,27.0
POV-Weekly-Metrics-07-09-2023.pdf,5,single_move_turn_time,27.6
POV-Weekly-Metrics-07-09-2023.pdf,6,single_move_turn_time,27.7
POV-Weekly-Metrics-07-09-2023.pdf,7,single_move_turn_time,30.1
POV-Weekly-Metrics-07-09-2023.pdf,0,dual_move_turn_time,38.9
POV-Weekly-Metrics-07-09-2023.pdf,1,dual_move_turn_time,38.0
POV-Weekly-Metrics-07-09-2023.pdf,2,dual_move_turn_time,43.6
POV-Weekly-Metrics-07-09-2023.pdf,3,dual_move_turn_time,36.9
POV-Weekly-Metrics-07-09-2023.pdf,4,dual_move_turn_time,38.1
POV-Weekly-Metrics-07-09-2023.pdf,5,dual_move_turn_time,40.6
POV-Weekly-Metrics-07-09-2023.pdf,6,dual_move_turn_time,38.4
POV-Weekly-Metrics-07-09-2023.pdf,7,dual_move_turn_time,41.8
POV-Weekly-Metrics-08-17-2025.pdf,0,gate_moves,9583.0
POV-Weekly-Metrics-08-17-2025.pdf,1,gate_moves,7558.0
POV-Weekly-Metrics-08-17-2025.pdf,2,gate_moves,8269.0
POV-Weekly-Metrics-08-17-2025.pdf,3,gate_moves,10777.0
POV-Weekly-Metrics-08-17-2025.pdf,4,gate_moves,12118.0
POV-Weekly-Metrics-08-17-2025.pdf,5,gate_moves,10117.0
