seed_block,seed,policy,path,weighted_cost,mean_queue,terminal_yard_backlog,late_horizon_drift
0,41000,pto_reid_7d,35,5.90889860189006,391.1657608695652,0.0,0.003043307479633158
0,41000,pto_reid_7d,36,6.077020352040756,402.3768115942029,0.0,-0.001400450956818389
0,41000,pto_reid_7d,37,7.621279805279096,505.3106884057971,0.0,-0.00043267331889461325
0,41000,pto_reid_7d,38,6.631067418067794,439.3052536231884,7.0,-0.0009270331034422892
0,41000,pto_reid_7d,39,4.869613945451982,321.8985507246377,7.0,-0.00298314011779565
0,41000,pto_reid_3d,0,0.10891495515432975,4.584239130434782,0.0,0.000490833293547281
0,41000,pto_reid_3d,1,0.07663595896418654,2.432065217391304,10.0,0.003595989999956597
0,41000,pto_reid_3d,2,0.12183992917802486,5.434782608695652,0.0,-0.001379834547893003
0,41000,pto_reid_3d,3,0.07749614572369307,2.488224637681159,2.0,0.0026005429711066456
0,41000,pto_reid_3d,4,0.07390984985471295,2.253623188405797,1.0,0.0006169731639460241
0,41000,pto_reid_3d,5,0.0774833571730586,2.494565217391304,0.0,0.0006278239054857009
0,41000,pto_reid_3d,6,0.18185562178950732,9.429347826086957,0.0,-0.001203835520119445
0,41000,pto_reid_3d,7,0.07984584300416535,2.647644927536232,6.0,0.004998936627329112
0,41000,pto_reid_3d,8,0.08286507671443646,2.847826086956522,3.0,-0.002768295435310049
0,41000,pto_reid_3d,9,0.09560449446288737,3.70018115942029,0.0,0.002965995946162961
0,41000,pto_reid_3d,10,0.15162786807635853,7.422101449275362,0.0,0.0005559919964930404
0,41000,pto_reid_3d,11,0.07356381680745612,2.2364130434782608,1.0,0.002382660080989935
0,41000,pto_reid_3d,12,0.08696465760757126,3.1096014492753623,5.0,0.004014069071480345
0,41000,pto_reid_3d,13,0.13762051149704474,6.4981884057971016,0.0,-0.0003595393209171915
0,41000,pto_reid_3d,14,0.07989563935443846,2.6440217391304346,9.0,0.004919563452966375
0,41000,pto_reid_3d,15,0.0803888433460181,2.6793478260869565,8.0,0.0042840897746952026
0,41000,pto_reid_3d,16,0.08616753366798943,3.057065217391304,0.0,-0.0022568999865450806
0,41000,pto_reid_3d,17,0.0733880100801557,2.221014492753623,0.0,-0.001149310543882569
