scenario,fidelity_level,fidelity_label,quota,yard_capacity,model_mean_composite_cost,model_samples,selected
public_peak_workload,medium_misspecification,中度失真,13,10,0.3971441773750871,4,False
public_peak_workload,medium_misspecification,中度失真,14,6,0.29763492234596894,4,False
public_peak_workload,medium_misspecification,中度失真,14,7,0.3158286497010414,4,False
public_peak_workload,medium_misspecification,中度失真,14,8,0.3356115980706066,4,False
public_peak_workload,medium_misspecification,中度失真,14,9,0.3555671007879979,4,False
public_peak_workload,medium_misspecification,中度失真,14,10,0.37556087343292544,4,False
public_peak_workload,medium_misspecification,中度失真,15,6,0.27746395018434555,4,False
public_peak_workload,medium_misspecification,中度失真,15,7,0.2953095117785485,4,False
public_peak_workload,medium_misspecification,中度失真,15,8,0.31498704801043254,4,False
public_peak_workload,medium_misspecification,中度失真,15,9,0.3349200190249253,4,False
public_peak_workload,medium_misspecification,中度失真,15,10,0.35490767753941804,4,False
public_peak_workload,medium_misspecification,中度失真,16,6,0.2586004206555725,4,False
public_peak_workload,medium_misspecification,中度失真,16,7,0.2759497186628188,4,False
public_peak_workload,medium_misspecification,中度失真,16,8,0.29547666612658696,4,False
public_peak_workload,medium_misspecification,中度失真,16,9,0.31537193333673186,4,False
public_peak_workload,medium_misspecification,中度失真,16,10,0.3353514396773116,4,False
public_peak_workload,medium_misspecification,中度失真,17,6,0.2415035351485385,4,False
public_peak_workload,medium_misspecification,中度失真,17,7,0.25816012482245154,4,False
public_peak_workload,medium_misspecification,中度失真,17,8,0.27747862572824866,4,False
public_peak_workload,medium_misspecification,中度失真,17,9,0.2973170541702776,4,False
public_peak_workload,medium_misspecification,中度失真,17,10,0.3172850115978139,4,False
public_peak_workload,medium_misspecification,中度失真,18,6,0.22623877080518742,4,False
public_peak_workload,medium_misspecification,中度失真,18,7,0.24198175087765117,4,False
public_peak_workload,medium_misspecification,中度失真,18,8,0.26103643837765117,4,False
public_peak_workload,medium_misspecification,中度失真,18,9,0.2808059130153323,4,False
public_peak_workload,medium_misspecification,中度失真,18,10,0.30075586772547724,4,False
public_peak_workload,medium_misspecification,中度失真,19,6,0.2131363454312405,4,False
public_peak_workload,medium_misspecification,中度失真,19,7,0.22772658546747238,4,False
public_peak_workload,medium_misspecification,中度失真,19,8,0.24644375032254479,4,False
public_peak_workload,medium_misspecification,中度失真,19,9,0.26612049398196513,4,False
public_peak_workload,medium_misspecification,中度失真,19,10,0.2860509740544289,4,False
public_peak_workload,medium_misspecification,中度失真,20,6,0.2022590165961952,4,False
public_peak_workload,medium_misspecification,中度失真,20,7,0.21539669775561548,4,False
public_peak_workload,medium_misspecification,中度失真,20,8,0.2337144060889488,4,False
public_peak_workload,medium_misspecification,中度失真,20,9,0.2532918517411227,4,False
public_peak_workload,medium_misspecification,中度失真,20,10,0.273197988516485,4,False
public_peak_workload,medium_misspecification,中度失真,21,6,0.19386798757999046,4,False
public_peak_workload,medium_misspecification,中度失真,21,7,0.2051128924712948,4,False
public_peak_workload,medium_misspecification,中度失真,21,8,0.222976456782889,4,False
public_peak_workload,medium_misspecification,中度失真,21,9,0.24243512979013535,4,False
public_peak_workload,medium_misspecification,中度失真,21,10,0.26230911076839625,4,False
public_peak_workload,medium_misspecification,中度失真,22,6,0.1879373191572985,4,False
public_peak_workload,medium_misspecification,中度失真,22,7,0.1965609604616463,4,False
public_peak_workload,medium_misspecification,中度失真,22,8,0.2138879532152695,4,False
public_peak_workload,medium_misspecification,中度失真,22,9,0.23322490973700857,4,False
public_peak_workload,medium_misspecification,中度失真,22,10,0.25307013165729847,4,False
public_peak_workload,medium_misspecification,中度失真,23,6,0.18475155562591086,4,False
public_peak_workload,medium_misspecification,中度失真,23,7,0.18971079475634564,4,False
public_peak_workload,medium_misspecification,中度失真,23,8,0.2064543409519978,4,False
public_peak_workload,medium_misspecification,中度失真,23,9,0.22565950399547605,4,False
public_peak_workload,medium_misspecification,中度失真,23,10,0.2454734759157659,4,False
public_peak_workload,medium_misspecification,中度失真,24,6,0.18459639228355915,4,False
public_peak_workload,medium_misspecification,中度失真,24,7,0.18457352090674756,4,False
public_peak_workload,medium_misspecification,中度失真,24,8,0.20066500641399393,4,False
public_peak_workload,medium_misspecification,中度失真,24,9,0.2197305634792113,4,False
public_peak_workload,medium_misspecification,中度失真,24,10,0.23951328539950117,4,False
public_peak_workload,medium_misspecification,中度失真,25,6,0.18788756046294658,4,False
public_peak_workload,medium_misspecification,中度失真,25,7,0.18091473437599007,4,False
public_peak_workload,medium_misspecification,中度失真,25,8,0.19632143727454077,4,False
public_peak_workload,medium_misspecification,中度失真,25,9,0.21524829415859872,4,False
public_peak_workload,medium_misspecification,中度失真,25,10,0.23499761481077266,4,False
public_peak_workload,medium_misspecification,中度失真,26,6,0.19597050853363834,4,False
public_peak_workload,medium_misspecification,中度失真,26,7,0.17865574404088472,4,False
public_peak_workload,medium_misspecification,中度失真,26,8,0.1932232259249427,4,False
public_peak_workload,medium_misspecification,中度失真,26,9,0.21201477936697166,4,False
public_peak_workload,medium_misspecification,中度失真,26,10,0.23173658643218908,4,False
public_peak_workload,medium_misspecification,中度失真,27,6,0.20902383529719523,4,False
public_peak_workload,medium_misspecification,中度失真,27,7,0.1774417474348764,4,False
public_peak_workload,medium_misspecification,中度失真,27,8,0.19105259435516622,4,False
public_peak_workload,medium_misspecification,中度失真,27,9,0.20969967315951404,4,False
public_peak_workload,medium_misspecification,中度失真,27,10,0.22939147569574594,4,False
public_peak_workload,medium_misspecification,中度失真,28,6,0.22444731856236244,4,False
public_peak_workload,medium_misspecification,中度失真,28,7,0.17725008124352185,4,True
public_peak_workload,medium_misspecification,中度失真,28,8,0.18984020805511603,4,False
public_peak_workload,medium_misspecification,中度失真,28,9,0.2083450767145363,4,False
public_peak_workload,medium_misspecification,中度失真,28,10,0.2280081201927972,4,False
public_peak_workload,medium_misspecification,中度失真,29,6,0.2404046559941963,4,False
public_peak_workload,medium_misspecification,中度失真,29,7,0.17769077465361655,4,False
public_peak_workload,medium_misspecification,中度失真,29,8,0.18935370490723974,4,False
public_peak_workload,medium_misspecification,中度失真,29,9,0.2077239494724571,4,False
public_peak_workload,medium_misspecification,中度失真,29,10,0.22735472392897887,4,False
public_peak_workload,medium_misspecification,中度失真,30,6,0.25529246959419605,4,False
public_peak_workload,medium_misspecification,中度失真,30,7,0.17846604296376128,4,False
public_peak_workload,medium_misspecification,中度失真,30,8,0.1892582757536163,4,False
public_peak_workload,medium_misspecification,中度失真,30,9,0.2075082757536163,4,False
public_peak_workload,medium_misspecification,中度失真,30,10,0.22711900944926852,4,False
public_peak_workload,severe_misspecification,严重失真,12,6,0.3356838506921077,4,False
public_peak_workload,severe_misspecification,严重失真,12,7,0.35451639145297725,4,False
public_peak_workload,severe_misspecification,严重失真,12,8,0.3745049557645715,4,False
public_peak_workload,severe_misspecification,严重失真,12,9,0.3945035970689193,4,False
public_peak_workload,severe_misspecification,严重失真,12,10,0.41450348384428165,4,False
public_peak_workload,severe_misspecification,严重失真,13,6,0.3131920478663292,4,False
public_peak_workload,severe_misspecification,严重失真,13,7,0.3319903947866191,4,False
public_peak_workload,severe_misspecification,严重失真,13,8,0.35197125982285093,4,False
public_peak_workload,severe_misspecification,严重失真,13,9,0.3719689953300973,4,False
public_peak_workload,severe_misspecification,严重失真,13,10,0.39196888210545966,4,False
public_peak_workload,severe_misspecification,严重失真,14,6,0.29155442912639246,4,False
public_peak_workload,severe_misspecification,严重失真,14,7,0.31030476880030555,4,False
public_peak_workload,severe_misspecification,严重失真,14,8,0.33027340557566787,4,False
public_peak_workload,severe_misspecification,严重失真,14,9,0.3502692162640737,4,False
public_peak_workload,severe_misspecification,严重失真,14,10,0.3702689898147982,4,False
public_peak_workload,severe_misspecification,严重失真,15,6,0.2707283075396648,4,False
public_peak_workload,severe_misspecification,严重失真,15,7,0.28940573054691116,4,False
public_peak_workload,severe_misspecification,严重失真,15,8,0.3093556852570561,4,False
